anime,end,information,score,start
Utawarerumono: Itsuwari no Kamen,2016,"|TV (25 eps)|Oct 2015 - Mar 2016|89,803 members|",7.28,2015
Witch Hunter Robin,2002,"|TV (26 eps)|Jul 2002 - Dec 2002|92,726 members|",7.28,2002
Yuu☆Yuu☆Hakusho: Eizou Hakusho - Ankoku Bujutsukai no Shou,1994,"|OVA (2 eps)|Sep 1994 - Oct 1994|10,227 members|",7.28,1994
Alps no Shoujo Heidi,1974,"|TV (52 eps)|Jan 1974 - Dec 1974|24,825 members|",7.28,1974
Amanchu!,2016,"|TV (12 eps)|Jul 2016 - Sep 2016|79,304 members|",7.28,2016
Ano Ko Secret,2017,"|Music (1 eps)|Jul 2017 - Jul 2017|1,257 members|",7.28,2017
Crayon Shin-chan Movie 22: Gachinko! Gyakushuu no Robo To-chan,2014,"|Movie (1 eps)|Apr 2014 - Apr 2014|2,720 members|",7.28,2014
Cyborg 009: The Cyborg Soldier,2003,"|TV (50 eps)|Oct 2001 - Aug 2003|25,155 members|",7.28,2001
Detective Conan OVA 07: A Challenge from Agasa! Agasa vs. Conan and the Detective Boys,2007,"|OVA (1 eps)|Mar 2007 - Mar 2007|11,533 members|",7.28,2007
Doraemon Movie 37: Nobita no Nankyoku Kachikochi Daibouken,2017,"|Movie (1 eps)|Mar 2017 - Mar 2017|2,301 members|",7.28,2017
Fushigi Yuugi: Dai Ni Bu,1998,"|OVA (6 eps)|May 1997 - Oct 1998|17,616 members|",7.28,1997
Gakuen Utopia Manabi Straight!,2007,"|TV (12 eps)|Jan 2007 - Mar 2007|26,681 members|",7.28,2007
Groove Adventure Rave,2002,"|TV (51 eps)|Oct 2001 - Sep 2002|82,693 members|",7.28,2001
Hetalia: The World Twinkle Specials,2015,"|Special (3 eps)|Oct 2015 - Dec 2015|6,119 members|",7.28,2015
Hiyoko no Basket Movie: Last Game 0401,2017,"|ONA (1 eps)|Apr 2017 - Apr 2017|7,055 members|",7.28,2017
Inferno Cop,2013,"|ONA (13 eps)|Dec 2012 - Mar 2013|82,723 members|",7.28,2012
Inukami!,2006,"|TV (26 eps)|Apr 2006 - Sep 2006|61,940 members|",7.28,2006
Kaze no Stigma,2007,"|TV (24 eps)|Apr 2007 - Sep 2007|365,450 members|",7.28,2007
Keroro Gunsou Movie 1,2006,"|Movie (1 eps)|Mar 2006 - Mar 2006|5,378 members|",7.28,2006
Konjiki no Gash Bell!!: 101 Banme no Mamono,2004,"|Movie (1 eps)|Aug 2004 - Aug 2004|6,929 members|",7.28,2004
Koukaku Kidoutai: Stand Alone Complex - Tachikoma na Hibi (TV),2008,"|TV (12 eps)|May 2007 - Apr 2008|10,833 members|",7.28,2007
Kyouran Kazoku Nikki,2008,"|TV (26 eps)|Apr 2008 - Oct 2008|26,396 members|",7.28,2008
Lupin III: Fuuma Ichizoku no Inbou,1987,"|Movie (1 eps)|Dec 1987 - Dec 1987|7,616 members|",7.28,1987
Mahou Sensei Negima!: Mou Hitotsu no Sekai Extra - Mahou Shoujo Yue♥,2010,"|OVA (1 eps)|Nov 2010 - Nov 2010|8,277 members|",7.28,2010
Mai-Otome Zwei,2007,"|OVA (4 eps)|Nov 2006 - Aug 2007|17,505 members|",7.28,2006
Mirai Nikki OVA,2010,"|OVA (1 eps)|Dec 2010 - Dec 2010|184,827 members|",7.28,2010
Mobile Suit Gundam SEED Destiny Special Edition,2006,"|Special (4 eps)|May 2006 - May 2006|10,029 members|",7.28,2006
Nanatsu no Taizai Movie: Tenkuu no Torawarebito,2018,"|Movie (1 eps)|Aug 2018 - Aug 2018|173,534 members|",7.28,2018
Air Movie,2005,"|Movie (1 eps)|Feb 2005 - Feb 2005|54,427 members|",7.27,2005
Beelzebub-jou no Okinimesu mama.,2018,"|TV (12 eps)|Oct 2018 - Dec 2018|62,262 members|",7.27,2018
Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki,2004,"|Special (4 eps)|Dec 2003 - Oct 2004|4,630 members|",7.27,2003
Canaan,2009,"|TV (13 eps)|Jul 2009 - Sep 2009|183,475 members|",7.27,2009
Captain Tsubasa J,1995,"|TV (47 eps)|Oct 1994 - Dec 1995|22,797 members|",7.27,1994
Chuunibyou demo Koi ga Shitai! Lite,2012,"|ONA (6 eps)|Sep 2012 - Oct 2012|105,458 members|",7.27,2012
Doraemon Movie 24: Nobita to Fushigi Kaze Tsukai,2003,"|Movie (1 eps)|Mar 2003 - Mar 2003|5,127 members|",7.27,2003
Fanren Xiu Xian Chuan Zhi Fanren Feng Qi Tian Nan,2020,"|ONA (17 eps)|Jul 2020 - Nov 2020|1,810 members|",7.27,2020
Fushigiboshi no☆Futagohime,2006,"|TV (51 eps)|Apr 2005 - Mar 2006|8,845 members|",7.27,2005
Gosenzo-sama Banbanzai!,1990,"|OVA (6 eps)|Aug 1989 - Jan 1990|5,637 members|",7.27,1989
Gunsmith Cats,1996,"|OVA (3 eps)|Nov 1995 - Sep 1996|32,326 members|",7.27,1995
H2,1996,"|TV (41 eps)|Jun 1995 - Mar 1996|7,576 members|",7.27,1995
Hifuu Katsudou Kiroku: The Sealed Esoteric History,NA,"|OVA (? eps)|Dec 2015 - |4,919 members|",7.27,2015
High School DxD Specials,2012,"|Special (6 eps)|Mar 2012 - Aug 2012|150,603 members|",7.27,2012
Kaidan Restaurant,2010,"|TV (23 eps)|Oct 2009 - Jun 2010|13,531 members|",7.27,2009
Kindaichi Shounen no Jikenbo Specials,2007,"|Special (2 eps)|Nov 2007 - Nov 2007|2,044 members|",7.27,2007
Kiniro Mosaic,2013,"|TV (12 eps)|Jul 2013 - Sep 2013|150,852 members|",7.27,2013
Kono Bijutsubu ni wa Mondai ga Aru!,2016,"|TV (12 eps)|Jul 2016 - Sep 2016|205,682 members|",7.27,2016
Lupin the IIIrd: Mine Fujiko no Uso,2019,"|Movie (1 eps)|May 2019 - May 2019|7,556 members|",7.27,2019
Macross Δ,2016,"|TV (26 eps)|Apr 2016 - Sep 2016|60,710 members|",7.27,2016
Mazinger Z,1974,"|TV (92 eps)|Dec 1972 - Sep 1974|12,499 members|",7.27,1972
Mitaiken Horizon,2019,"|Music (1 eps)|Sep 2019 - Sep 2019|2,360 members|",7.27,2019
Mix,2019,"|TV (24 eps)|Apr 2019 - Sep 2019|16,538 members|",7.27,2019
Mobile Suit Gundam Thunderbolt 2nd Season,2017,"|ONA (4 eps)|Mar 2017 - Jul 2017|15,718 members|",7.27,2017
Mobile Suit Gundam Thunderbolt: Bandit Flower,2017,"|Movie (1 eps)|Nov 2017 - Nov 2017|7,714 members|",7.27,2017
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?: Onsen Manyuuki,2013,"|OVA (1 eps)|Jul 2013 - Jul 2013|72,814 members|",7.27,2013
Ookiku Furikabutte: Kihon no Kihon,2008,"|Special (1 eps)|Feb 2008 - Feb 2008|11,326 members|",7.27,2008
Oushitsu Kyoushi Heine Movie,2019,"|Movie (1 eps)|Feb 2019 - Feb 2019|14,490 members|",7.27,2019
Petshop of Horrors,1999,"|TV (4 eps)|Mar 1999 - Mar 1999|50,065 members|",7.27,1999
Plastic Neesan,2012,"|ONA (12 eps)|May 2011 - Jul 2012|158,056 members|",7.27,2011
Pokemon Movie 10: Dialga vs. Palkia vs. Darkrai,2007,"|Movie (1 eps)|Jul 2007 - Jul 2007|79,480 members|",7.27,2007
Poputepipikku,2018,"|TV (12 eps)|Jan 2018 - Mar 2018|161,136 members|",7.27,2018
Precure All Stars Movie DX: Minna Tomodachi☆Kiseki no Zenin Daishuugou!,2009,"|Movie (1 eps)|Mar 2009 - Mar 2009|4,785 members|",7.27,2009
Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,1991,"|Movie (1 eps)|Nov 1991 - Nov 1991|17,884 members|",7.27,1991
Saiunkoku Monogatari Recaps,2007,"|Special (9 eps)|Mar 2007 - Mar 2007|4,364 members|",7.27,2007
Selector Infected WIXOSS,2014,"|TV (12 eps)|Apr 2014 - Jun 2014|125,893 members|",7.27,2014
"Sengoku Basara Two: Ryuko, Itadaki no Chikai! Atsuki Mirai e Kakeru Tamashii!!",2011,"|Special (1 eps)|Apr 2011 - Apr 2011|6,631 members|",7.27,2011
Strike Witches: Road to Berlin,2020,"|TV (12 eps)|Oct 2020 - Dec 2020|13,713 members|",7.27,2020
Suite Precure♪,2012,"|TV (48 eps)|Feb 2011 - Jan 2012|11,894 members|",7.27,2011
Tanaka-kun wa Kyou mo Kedaruge,2016,"|Special (35 eps)|Apr 2016 - Jul 2016|27,021 members|",7.27,2016
Tiger Mask,1971,"|TV (105 eps)|Oct 1969 - Sep 1971|7,645 members|",7.27,1969
Time Travel Tondekeman!,1990,"|TV (39 eps)|Oct 1989 - Aug 1990|1,654 members|",7.27,1989
Uragiri wa Boku no Namae wo Shitteiru,2010,"|TV (24 eps)|Apr 2010 - Sep 2010|80,868 members|",7.27,2010
Uta no☆Prince-sama♪ Maji Love 2000%,2013,"|TV (13 eps)|Apr 2013 - Jun 2013|93,316 members|",7.27,2013
"Wei, Kanjian Erduo La!",2018,"|ONA (12 eps)|Aug 2018 - Nov 2018|11,313 members|",7.27,2018
Witchblade,2006,"|TV (24 eps)|Apr 2006 - Sep 2006|95,461 members|",7.27,2006
Zhen Hun Jie: Bei Luo Shi Men Pian Part 1,2020,"|ONA (5 eps)|Dec 2019 - Jan 2020|1,923 members|",7.27,2019
Nazo no Kanojo X,2012,"|TV (13 eps)|Apr 2012 - Jul 2012|194,670 members|",7.26,2012
Nazo no Kanojo X: Nazo no Natsu Matsuri,2012,"|OVA (1 eps)|Aug 2012 - Aug 2012|30,023 members|",7.26,2012
Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna - Manner Movie,2019,"|Movie (1 eps)|Nov 2019 - Nov 2019|15,246 members|",7.26,2019
Sankarea OVA,2012,"|OVA (2 eps)|Jun 2012 - Nov 2012|88,313 members|",7.26,2012
Seikai no Senki Special,2001,"|Special (1 eps)|Jul 2001 - Jul 2001|2,947 members|",7.26,2001
Spiral: Suiri no Kizuna,2003,"|TV (25 eps)|Oct 2002 - Mar 2003|46,367 members|",7.26,2002
Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?,2005,"|OVA (1 eps)|Sep 2005 - Sep 2005|9,864 members|",7.26,2005
Wo Shi Jiang Xiaobai,2018,"|ONA (12 eps)|Nov 2017 - Jan 2018|6,112 members|",7.26,2017
Abenobashi Mahou☆Shoutengai,2002,"|TV (13 eps)|Apr 2002 - Jun 2002|71,320 members|",7.26,2002
Additional Memory,2018,"|Music (1 eps)|Sep 2018 - Sep 2018|4,124 members|",7.26,2018
Ajin OVA,2016,"|OVA (2 eps)|May 2016 - Oct 2016|37,792 members|",7.26,2016
Amagami SS OVA,2011,"|OVA (6 eps)|Jun 2011 - Aug 2011|46,573 members|",7.26,2011
Ashita no Joe 2 (Movie),1981,"|Movie (1 eps)|Jul 1981 - Jul 1981|3,226 members|",7.26,1981
Brigadoon: Marin to Melan,2001,"|TV (26 eps)|Jul 2000 - Feb 2001|10,160 members|",7.26,2000
C: The Money of Soul and Possibility Control,2011,"|TV (11 eps)|Apr 2011 - Jun 2011|245,475 members|",7.26,2011
Dantalian no Shoka,2011,"|TV (12 eps)|Jul 2011 - Oct 2011|124,439 members|",7.26,2011
Detective Conan OVA 01: Conan vs. Kid vs. Yaiba,2000,"|OVA (1 eps)|2000 - 2000|16,238 members|",7.26,2000
Detective Conan OVA 05: The Target is Kogoro! The Detective Boys' Secret Investigation,2005,"|OVA (1 eps)|2005 - 2005|11,647 members|",7.26,2005
Dotto Koni-chan,2001,"|TV (26 eps)|Nov 2000 - May 2001|2,746 members|",7.26,2000
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,2019,"|TV (12 eps)|Jul 2019 - Sep 2019|455,323 members|",7.26,2019
Ginga e Kickoff!!,2013,"|TV (39 eps)|Mar 2012 - Feb 2013|19,835 members|",7.26,2012
GJ-bu@,2014,"|Special (1 eps)|May 2014 - May 2014|31,860 members|",7.26,2014
Grancrest Senki,2018,"|TV (24 eps)|Jan 2018 - Jun 2018|200,337 members|",7.26,2018
Hentai Ouji to Warawanai Neko.,2013,"|TV (12 eps)|Apr 2013 - Jun 2013|361,238 members|",7.26,2013
Hetalia Axis Powers Fan Disc,2010,"|OVA (1 eps)|May 2010 - May 2010|11,695 members|",7.26,2010
High School! Kimengumi,1987,"|TV (86 eps)|Oct 1985 - Oct 1987|2,681 members|",7.26,1985
Higurashi no Naku Koro ni Kai Specials,2008,"|Special (24 eps)|Sep 2007 - Aug 2008|40,237 members|",7.26,2007
Himouto! Umaru-chan OVA,2017,"|OVA (2 eps)|Oct 2015 - Apr 2017|59,406 members|",7.26,2015
Hyakko,2008,"|TV (13 eps)|Oct 2008 - Dec 2008|40,169 members|",7.26,2008
Itte.,2017,"|Music (1 eps)|Jun 2017 - Jun 2017|1,054 members|",7.26,2017
Jyu Oh Sei,2006,"|TV (11 eps)|Apr 2006 - Jun 2006|61,986 members|",7.26,2006
Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone,1981,"|TV (50 eps)|Jan 1981 - Dec 1981|4,233 members|",7.26,1981
Kidou Tenshi Angelic Layer,2001,"|TV (26 eps)|Apr 2001 - Sep 2001|50,360 members|",7.26,2001
Koukaku Kidoutai Arise: Alternative Architecture,2015,"|TV (10 eps)|Apr 2015 - Jun 2015|36,571 members|",7.26,2015
Koutetsujou no Kabaneri,2016,"|TV (12 eps)|Apr 2016 - Jul 2016|572,034 members|",7.26,2016
Kyoushoku Soukou Guyver (2005),2006,"|TV (26 eps)|Aug 2005 - Feb 2006|18,103 members|",7.26,2005
Layton Mystery Tanteisha: Katri no Nazotoki File,2019,"|TV (50 eps)|Apr 2018 - Mar 2019|13,082 members|",7.26,2018
Legendz: Yomigaeru Ryuuou Densetsu,2005,"|TV (50 eps)|Apr 2004 - Mar 2005|2,293 members|",7.26,2004
Levius,2019,"|ONA (12 eps)|Nov 2019 - Nov 2019|13,040 members|",7.26,2019
Little Nemo,1989,"|Movie (1 eps)|Jul 1989 - Jul 1989|7,905 members|",7.26,1989
"Love Hina: Motoko no Sentaku, Koi ka Ken... ""Naku na""",2000,"|Special (1 eps)|Sep 2000 - Sep 2000|33,984 members|",7.26,2000
07-Ghost,2009,"|TV (25 eps)|Apr 2009 - Sep 2009|180,345 members|",7.25,2009
Aishen Qiaokeli-ing...II,2018,"|ONA (15 eps)|Dec 2017 - Apr 2018|20,405 members|",7.25,2017
Amagi Brilliant Park: Nonbirishiteiru Hima ga Nai!,2015,"|Special (1 eps)|Jun 2015 - Jun 2015|71,415 members|",7.25,2015
Basquash!,2009,"|TV (26 eps)|Apr 2009 - Oct 2009|40,366 members|",7.25,2009
Cencoroll Connect,2019,"|Movie (1 eps)|Jun 2019 - Jun 2019|29,063 members|",7.25,2019
Clannad Movie,2007,"|Movie (1 eps)|Sep 2007 - Sep 2007|140,774 members|",7.25,2007
Date A Live II,2014,"|TV (10 eps)|Apr 2014 - Jun 2014|425,949 members|",7.25,2014
Detective Conan: Conan vs. Kid - Jet Black Sniper,2006,"|Movie (1 eps)|Jul 2006 - Jul 2006|4,000 members|",7.25,2006
Digimon Adventure 02,2001,"|TV (50 eps)|Apr 2000 - Mar 2001|183,937 members|",7.25,2000
Doraemon: Obaachan no Omoide,2000,"|Movie (1 eps)|Mar 2000 - Mar 2000|1,859 members|",7.25,2000
Druaga no Tou: The Sword of Uruk,2009,"|TV (12 eps)|Jan 2009 - Mar 2009|65,455 members|",7.25,2009
Fairy Tail OVA (2016),2016,"|OVA (3 eps)|May 2016 - Dec 2016|62,211 members|",7.25,2016
Fate/kaleid liner Prisma☆Illya 2wei Herz!,2015,"|TV (10 eps)|Jul 2015 - Sep 2015|103,294 members|",7.25,2015
Gegege no Kitarou (2018),2020,"|TV (97 eps)|Apr 2018 - Mar 2020|39,214 members|",7.25,2018
Higurashi no Naku Koro ni Kaku: Outbreak,2013,"|OVA (1 eps)|Aug 2013 - Aug 2013|55,057 members|",7.25,2013
Jormungand: Perfect Order Recap,2012,"|Special (1 eps)|Oct 2012 - Oct 2012|10,618 members|",7.25,2012
Kimi ga Nozomu Eien,2004,"|TV (14 eps)|Oct 2003 - Jan 2004|122,061 members|",7.25,2003
Kimi no Kokoro wa Kagayaiteru kai?,2015,"|Music (1 eps)|Oct 2015 - Oct 2015|8,138 members|",7.25,2015
Kobayashi-san Chi no OO Dragon,2017,"|Special (7 eps)|Mar 2017 - Sep 2017|65,179 members|",7.25,2017
Kuroshitsuji II,2010,"|TV (12 eps)|Jul 2010 - Sep 2010|417,080 members|",7.25,2010
Love Hina Again,2002,"|OVA (3 eps)|Jan 2002 - Mar 2002|76,030 members|",7.25,2002
Main Actor,2018,"|Music (1 eps)|Feb 2018 - Feb 2018|1,857 members|",7.25,2018
Musekinin Kanchou Tylor OVA,1996,"|OVA (10 eps)|Oct 1994 - Aug 1996|7,630 members|",7.25,1994
"Natsu-iro Egao de 1, 2, Jump!",2011,"|Music (1 eps)|Aug 2011 - Aug 2011|11,693 members|",7.25,2011
One Piece Movie 5: Norowareta Seiken,2004,"|Movie (1 eps)|Mar 2004 - Mar 2004|55,957 members|",7.25,2004
One Piece: Nenmatsu Tokubetsu Kikaku! Mugiwara no Luffy Oyabun Torimonochou,2005,"|Special (1 eps)|Dec 2005 - Dec 2005|25,538 members|",7.25,2005
Planet With,2018,"|TV (12 eps)|Jul 2018 - Sep 2018|47,385 members|",7.25,2018
Rurouni Kenshin: Special Techniques,1997,"|Special (1 eps)|Oct 1997 - Oct 1997|9,935 members|",7.25,1997
Shikabane Hime: Aka,2008,"|TV (13 eps)|Oct 2008 - Dec 2008|103,544 members|",7.25,2008
Star☆Twinkle Precure,2020,"|TV (49 eps)|Feb 2019 - Jan 2020|6,782 members|",7.25,2019
Super Robot Taisen OG: The Inspector,2011,"|TV (26 eps)|Oct 2010 - Apr 2011|8,004 members|",7.25,2010
Taisou Zamurai,2020,"|TV (11 eps)|Oct 2020 - Dec 2020|29,336 members|",7.25,2020
Tatakau Shisho: The Book of Bantorra,2010,"|TV (27 eps)|Oct 2009 - Apr 2010|53,645 members|",7.25,2009
Yes! Precure 5 Movie: Kagami no Kuni no Miracle Daibouken!,2007,"|Movie (1 eps)|Nov 2007 - Nov 2007|4,136 members|",7.25,2007
Young Black Jack,2015,"|TV (12 eps)|Oct 2015 - Dec 2015|69,661 members|",7.25,2015
Zoids Genesis,2006,"|TV (50 eps)|Apr 2005 - Mar 2006|13,582 members|",7.25,2005
Nogizaka Haruka no Himitsu,2008,"|TV (12 eps)|Jul 2008 - Sep 2008|115,191 members|",7.24,2008
One Piece: Episode of Alabasta - Prologue,2007,"|OVA (1 eps)|Mar 2007 - Mar 2007|10,445 members|",7.24,2007
"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru OVA",2014,"|OVA (1 eps)|May 2014 - May 2014|60,672 members|",7.24,2014
Ou Dorobou Jing,2002,"|TV (13 eps)|May 2002 - Aug 2002|32,585 members|",7.24,2002
Sekirei: Pure Engagement Episode 0,2010,"|Special (1 eps)|Aug 2010 - Aug 2010|42,468 members|",7.24,2010
Star Driver: Kagayaki no Takuto,2011,"|TV (25 eps)|Oct 2010 - Apr 2011|96,582 members|",7.24,2010
Tabisuru Nuigurumi: Traveling Daru,2012,"|Movie (1 eps)|Jul 2012 - Jul 2012|3,962 members|",7.24,2012
Tenkuu Senki Shurato,1990,"|TV (38 eps)|Apr 1989 - Jan 1990|8,494 members|",7.24,1989
Tennis no Ouji-sama: Pair Prince,2010,"|Special (8 eps)|Jun 2010 - Dec 2010|4,761 members|",7.24,2010
Vampire Knight: Guilty,2008,"|TV (13 eps)|Oct 2008 - Dec 2008|295,015 members|",7.24,2008
Wan Jie Xian Zong 3rd Season,2020,|ONA (48 eps)|Oct 2019 - Apr 2020|910 members|,7.24,2019
Aikatsu!: Nerawareta Mahou no Aikatsu! Card,2016,"|Movie (1 eps)|Aug 2016 - Aug 2016|2,502 members|",7.24,2016
Amagami SS+ Plus: Extra Episode+ Plus,2012,"|Special (6 eps)|Apr 2012 - Sep 2012|28,624 members|",7.24,2012
Amagami SS: Tachibana Miya-hen - Imouto,2011,"|Special (1 eps)|Apr 2011 - Apr 2011|44,818 members|",7.24,2011
Ayashi no Ceres,2000,"|TV (24 eps)|Apr 2000 - Sep 2000|52,040 members|",7.24,2000
Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou,2012,"|Special (6 eps)|Sep 2011 - Feb 2012|31,015 members|",7.24,2011
Bishoujo Senshi Sailor Moon: Sailor Stars - Hero Club,1997,"|OVA (3 eps)|Dec 1996 - Jun 1997|7,392 members|",7.24,1996
Cybersix,1999,"|TV (13 eps)|Sep 1999 - Nov 1999|6,929 members|",7.24,1999
D.C.II S.S.: Da Capo II Second Season,2008,"|TV (13 eps)|Apr 2008 - Jun 2008|26,517 members|",7.24,2008
Date A Live,2013,"|TV (12 eps)|Apr 2013 - Jun 2013|686,337 members|",7.24,2013
Doraemon Movie 15: Nobita to Mugen Sankenshi,1994,"|Movie (1 eps)|Mar 1994 - Mar 1994|3,329 members|",7.24,1994
El Cazador de la Bruja,2007,"|TV (26 eps)|Apr 2007 - Sep 2007|44,615 members|",7.24,2007
Hiiro no Kakera Dai Ni Shou,2012,"|TV (13 eps)|Sep 2012 - Dec 2012|43,038 members|",7.24,2012
Hoozuki no Reitetsu 2nd Season OVA,2020,"|OVA (3 eps)|Sep 2019 - Sep 2020|3,354 members|",7.24,2019
Hunter x Hunter Movie 1: Phantom Rouge,2013,"|Movie (1 eps)|Jan 2013 - Jan 2013|114,443 members|",7.24,2013
Hunter x Hunter Movie 2: The Last Mission,2013,"|Movie (1 eps)|Dec 2013 - Dec 2013|101,017 members|",7.24,2013
Huyao Xiao Hongniang,2015,"|ONA (13 eps)|Jun 2015 - Nov 2015|33,667 members|",7.24,2015
Jinrui wa Suitai Shimashita Specials,2013,"|Special (6 eps)|Sep 2012 - Feb 2013|17,375 members|",7.24,2012
Kimi no Hikari: Asagao to Kase-san.,2017,"|OVA (1 eps)|Jul 2017 - Jul 2017|25,941 members|",7.24,2017
Kimi no Iru Machi: Tasogare Kousaten,2012,"|OVA (2 eps)|Mar 2012 - Jun 2012|36,807 members|",7.24,2012
Kotoura-san,2013,"|TV (12 eps)|Jan 2013 - Mar 2013|254,477 members|",7.24,2013
Kyou no 5 no 2,2007,"|OVA (4 eps)|Mar 2006 - Mar 2007|27,514 members|",7.24,2006
Mai Mai Shinko to Sennen no Mahou,2009,"|Movie (1 eps)|Aug 2009 - Aug 2009|11,600 members|",7.24,2009
Maison Ikkoku: Kanketsu-hen,1988,"|Movie (1 eps)|Feb 1988 - Feb 1988|5,357 members|",7.24,1988
Mangaka-san to Assistant-san to The Animation Specials,2014,"|Special (6 eps)|Jun 2014 - Nov 2014|42,358 members|",7.24,2014
All Alone With You,2013,"|Music (1 eps)|Mar 2013 - Mar 2013|14,936 members|",7.23,2013
Aoharu x Kikanjuu: Kemono-tachi no Senjou da na!,2015,"|Special (1 eps)|Dec 2015 - Dec 2015|30,078 members|",7.23,2015
Area no Kishi,2012,"|TV (37 eps)|Jan 2012 - Sep 2012|58,571 members|",7.23,2012
Atashin'chi,2009,"|TV (330 eps)|Apr 2002 - Sep 2009|3,234 members|",7.23,2002
Daze,2014,"|Music (1 eps)|May 2014 - May 2014|5,672 members|",7.23,2014
Deadman Wonderland,2011,"|TV (12 eps)|Apr 2011 - Jul 2011|907,650 members|",7.23,2011
Digimon Adventure tri. 6: Bokura no Mirai,2018,"|Movie (1 eps)|May 2018 - May 2018|33,189 members|",7.23,2018
Dimension W,2016,"|TV (12 eps)|Jan 2016 - Mar 2016|247,373 members|",7.23,2016
Figure 17: Tsubasa & Hikaru,2002,"|TV (13 eps)|May 2001 - May 2002|10,900 members|",7.23,2001
Fuujin Monogatari,2005,"|TV (13 eps)|Sep 2004 - Feb 2005|14,171 members|",7.23,2004
Galaxy Angel 4,2004,"|TV (13 eps)|Jul 2004 - Sep 2004|6,706 members|",7.23,2004
Genius Party Beyond,2008,"|Movie (5 eps)|Oct 2008 - Oct 2008|16,104 members|",7.23,2008
Ginga Densetsu Weed,2006,"|TV (26 eps)|Nov 2005 - May 2006|12,086 members|",7.23,2005
Hoshi no Koe,2002,"|OVA (1 eps)|Feb 2002 - Feb 2002|128,662 members|",7.23,2002
"Inari, Konkon, Koi Iroha.",2014,"|TV (10 eps)|Jan 2014 - Mar 2014|123,629 members|",7.23,2014
Ixion Saga DT,2013,"|TV (25 eps)|Oct 2012 - Apr 2013|92,294 members|",7.23,2012
Jian Wang 3: Xia Gan Yi Dan Shen Jianxin,2018,"|ONA (12 eps)|Sep 2018 - Nov 2018|1,118 members|",7.23,2018
Kaiketsu Zorro,1997,"|TV (52 eps)|Apr 1996 - Apr 1997|8,769 members|",7.23,1996
Kinnikuman,1986,"|TV (137 eps)|Apr 1983 - Oct 1986|8,177 members|",7.23,1983
Kuroko no Basket: Oshaberi Demo Shimasen ka,2014,"|Special (1 eps)|Dec 2014 - Dec 2014|17,558 members|",7.23,2014
Kyou no 5 no 2 (TV),2008,"|TV (13 eps)|Oct 2008 - Dec 2008|31,160 members|",7.23,2008
Le Chevalier D'Eon,2007,"|TV (24 eps)|Jul 2006 - Feb 2007|48,737 members|",7.23,2006
Lupin III (2015) Specials,2015,"|Special (2 eps)|Sep 2015 - Nov 2015|5,655 members|",7.23,2015
Lupin III: Honoo no Kioku - Tokyo Crisis,1998,"|Special (1 eps)|Jul 1998 - Jul 1998|5,588 members|",7.23,1998
Mahoutsukai no Yome Recap,2017,"|Special (1 eps)|Dec 2017 - Dec 2017|10,900 members|",7.23,2017
Masuda Kousuke Gekijou Gag Manga Biyori 2,2006,"|TV (12 eps)|Aug 2006 - Oct 2006|2,714 members|",7.23,2006
Miracle Giants Doumu-kun,1990,"|TV (49 eps)|Apr 1989 - Mar 1990|1,265 members|",7.23,1989
Mobile Suit Gundam SEED Destiny,2005,"|TV (50 eps)|Oct 2004 - Oct 2005|88,441 members|",7.23,2004
Neppuu Kairiku Bushi Road,2013,"|Special (1 eps)|Dec 2013 - Dec 2013|39,458 members|",7.23,2013
Oh! Edo Rocket,2007,"|TV (26 eps)|Apr 2007 - Sep 2007|10,864 members|",7.23,2007
Ookami-san to Shichinin no Nakama-tachi,2010,"|TV (12 eps)|Jul 2010 - Sep 2010|231,253 members|",7.23,2010
Saber Marionette J Again,1998,"|OVA (6 eps)|Nov 1997 - Jun 1998|9,970 members|",7.23,1997
Saint Seiya: Shinku no Shounen Densetsu,1988,"|Movie (1 eps)|Jul 1988 - Jul 1988|13,113 members|",7.23,1988
Saint Seiya: Tenkai-hen Josou - Overture,2004,"|Movie (1 eps)|Feb 2004 - Feb 2004|19,080 members|",7.23,2004
Saiyuuki Reload Blast,2017,"|TV (12 eps)|Jul 2017 - Sep 2017|32,437 members|",7.23,2017
Sei Juushi Bismarck,1985,"|TV (51 eps)|Oct 1984 - Sep 1985|4,354 members|",7.23,1984
Selector Destructed WIXOSS Movie,2016,"|Movie (1 eps)|Feb 2016 - Feb 2016|15,693 members|",7.23,2016
Sola,2007,"|TV (13 eps)|Apr 2007 - Jun 2007|89,832 members|",7.23,2007
Suzuka,2005,"|TV (26 eps)|Jul 2005 - Dec 2005|97,930 members|",7.23,2005
Suzumiya Haruhi no Yuuutsu (2009),2009,"|TV (14 eps)|May 2009 - Sep 2009|415,760 members|",7.23,2009
Tactics,2005,"|TV (25 eps)|Oct 2004 - Mar 2005|36,124 members|",7.23,2004
