anime,end,information,score,start
Nodame Cantabile,2007,"|TV (23 eps)|Jan 2007 - Jun 2007|255,765 members|",8.33,2007
Quanzhi Gaoshou Specials,2018,"|ONA (3 eps)|Apr 2018 - May 2018|76,492 members|",8.33,2018
Tonari no Totoro,1988,"|Movie (1 eps)|Apr 1988 - Apr 1988|682,839 members|",8.33,1988
Versailles no Bara,1980,"|TV (40 eps)|Oct 1979 - Sep 1980|66,036 members|",8.33,1979
Diamond no Ace: Second Season,2016,"|TV (51 eps)|Apr 2015 - Mar 2016|96,837 members|",8.33,2015
Hunter x Hunter: Original Video Animation,2002,"|OVA (8 eps)|Jan 2002 - Apr 2002|99,049 members|",8.33,2002
Beck,2005,"|TV (26 eps)|Oct 2004 - Mar 2005|247,482 members|",8.32,2004
Kono Subarashii Sekai ni Shukufuku wo! 2,2017,"|TV (10 eps)|Jan 2017 - Mar 2017|926,599 members|",8.32,2017
Rurouni Kenshin: Meiji Kenkaku Romantan,1998,"|TV (94 eps)|Jan 1996 - Sep 1998|375,015 members|",8.32,1996
Shokugeki no Souma,2015,"|TV (24 eps)|Apr 2015 - Sep 2015|1,102,709 members|",8.32,2015
Stranger: Mukou Hadan,2007,"|Movie (1 eps)|Sep 2007 - Sep 2007|252,268 members|",8.32,2007
Tenkuu no Shiro Laputa,1986,"|Movie (1 eps)|Aug 1986 - Aug 1986|320,171 members|",8.32,1986
Tsubasa: Tokyo Revelations,2008,"|OVA (3 eps)|Nov 2007 - Mar 2008|80,776 members|",8.32,2007
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",2018,"|Special (1 eps)|Jul 2018 - Jul 2018|166,557 members|",8.32,2018
Neon Genesis Evangelion,1996,"|TV (26 eps)|Oct 1995 - Mar 1996|1,079,668 members|",8.31,1995
Planetes,2004,"|TV (26 eps)|Oct 2003 - Apr 2004|190,535 members|",8.31,2003
Detective Conan Movie 06: The Phantom of Baker Street,2002,"|Movie (1 eps)|Apr 2002 - Apr 2002|56,493 members|",8.31,2002
Doukyuusei (Movie),2016,"|Movie (1 eps)|Feb 2016 - Feb 2016|141,340 members|",8.31,2016
Given,2019,"|TV (11 eps)|Jul 2019 - Sep 2019|212,938 members|",8.31,2019
Boku no Hero Academia 3rd Season,2018,"|TV (25 eps)|Apr 2018 - Sep 2018|1,220,562 members|",8.3,2018
Gin no Saji 2nd Season,2014,"|TV (11 eps)|Jan 2014 - Mar 2014|117,575 members|",8.3,2014
Hibike! Euphonium 2,2016,"|TV (13 eps)|Oct 2016 - Dec 2016|157,938 members|",8.3,2016
Koukaku Kidoutai,1995,"|Movie (1 eps)|Nov 1995 - Nov 1995|454,873 members|",8.3,1995
Kuroko no Basket 2nd Season,2014,"|TV (25 eps)|Oct 2013 - Mar 2014|553,611 members|",8.3,2013
Re:Zero kara Hajimeru Isekai Seikatsu,2016,"|TV (25 eps)|Apr 2016 - Sep 2016|1,387,049 members|",8.3,2016
Redline,2009,"|Movie (1 eps)|Aug 2009 - Aug 2009|248,782 members|",8.29,2009
Tokyo Godfathers,2003,"|Movie (1 eps)|Nov 2003 - Nov 2003|189,046 members|",8.29,2003
Youjo Senki Movie,2019,"|Movie (1 eps)|Feb 2019 - Feb 2019|149,214 members|",8.29,2019
Hajime no Ippo: Champion Road,2003,"|Special (1 eps)|Apr 2003 - Apr 2003|94,465 members|",8.29,2003
Hunter x Hunter: Greed Island Final,2004,"|OVA (14 eps)|Mar 2004 - Aug 2004|107,044 members|",8.29,2004
Magi: The Kingdom of Magic,2014,"|TV (25 eps)|Oct 2013 - Mar 2014|609,162 members|",8.29,2013
Ashita no Joe,1971,"|TV (79 eps)|Apr 1970 - Sep 1971|55,093 members|",8.28,1970
Danshi Koukousei no Nichijou,2012,"|TV (12 eps)|Jan 2012 - Mar 2012|572,040 members|",8.28,2012
Detective Conan: Episode One - The Great Detective Turned Small,2016,"|Special (1 eps)|Dec 2016 - Dec 2016|21,388 members|",8.28,2016
Gyakkyou Burai Kaiji: Ultimate Survivor,2008,"|TV (26 eps)|Oct 2007 - Apr 2008|236,376 members|",8.28,2007
Initial D First Stage,1998,"|TV (26 eps)|Apr 1998 - Dec 1998|214,776 members|",8.28,1998
